smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
OCc1ccccc1,244,108.14,1,1,1.1,0,20.2,1,1
CC(NC(C)(C)C)C(=O)c1cccc(c1)Cl,444,239.74,2,1,3.2,0,29.1,4,1
NCCc1ccc(c(c1)O)O DOPAMINE,681,153.18,3,3,-1,0,66.5,2,0
NC(=O)c1cccnc1,936,122.12,2,1,-0.4,0,56,1,1
CN1CCCC1c1cccnc1,942,162.23,2,0,1.2,0,16.1,1,1
[N-]=[N+]=O,948,44.013,2,0,0.5,0,19.1,0,1
CC12NC(Cc3ccccc13)c1ccccc21,1207,221.3,1,1,2.8,0,12,0,1
CCC12CCN(CC3(O)CC3)C(Cc3ccc(cc31)O)C2(C)C,1223,315.4,3,2,3.9,0,43.7,3,1
CN1CCN(CC1)C1Cc2ccccc2Sc2ccc(cc12)Cl,1238,344.9,3,0,4.3,0,31.8,1,1
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,1775,252.27,2,2,2.5,0,58.2,2,1
CCCC(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)C,1978,336.4,5,3,1.7,0,87.7,10,0
CC(=O)Nc1ccc(cc1)O,1983,151.16,2,2,0.5,0,49.3,1,1
CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1O,1984,271.27,4,2,2.6,0,75.6,4,1
CC(=O)Nc1sc(nn1)S(N)(=O)=O,1986,222.3,7,2,-0.3,0,152,2,1
CC(N)C(=O)OC(C)(C)Cc1ccc(cc1)Cl,2081,255.74,3,1,2.8,0,52.3,5,1
Cc1nnc2n1c1ccc(cc1C(=NC2)c1ccccc1)Cl,2118,308.8,3,0,2.1,0,43.1,1,1
OC(=O)CN1C(=O)c2cccc3cccc(c23)C1=O,2120,255.22,4,1,1.7,0,74.7,2,1
NC12CC3CC(CC(C3)C1)C2,2130,151.25,1,1,2.4,0,26,0,1
CCN1C=C(C(O)=O)C(=O)c2ccc(nc12)Cc1ccccc1,2137,308.3,5,1,3,0,70.5,4,1
CCC1(CCC(=O)NC1=O)c1ccc(cc1)N,2145,232.28,3,2,1.2,0,72.2,2,1
CCCCc1oc2ccccc2c1C(=O)c1cc(c(c(c1)[I])OCCN(CC)CC)[I],2157,645.3,4,0,7.6,0,42.7,11,0
CCN1CCCC1CNC(=O)c1cc(c(cc1OC)N)S(=O)(=O)CC,2159,369.5,6,2,1.5,0,110,7,1
CN(C)CCC=C1c2ccccc2CCc2ccccc12,2160,277.4,1,0,5,0,3.2,3,1
