cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
297,16.043,0,0,0.6,0,0,0,1
298,323.13,5,3,1.1,0,115,5,1
338,138.12,3,2,2.3,0,57.5,1,0
401,102.09,3,2,-1.5,0,64.4,0,1
444,239.74,2,1,3.2,0,29.1,4,1
450,272.4,2,2,4,0,40.5,0,1
453,182.17,6,6,-3.1,0,121,5,0
596,243.22,5,4,-2.1,0,129,2,1
598,142.2,4,2,-0.6,0,63.8,2,0
681,153.18,3,3,-1,0,66.5,2,0
815,484.5,15,11,-6.9,0,283,6,0
838,183.2,4,4,-1.4,0,72.7,3,0
942,162.23,2,0,1.2,0,16.1,1,1
951,169.18,4,4,-1.2,0,86.7,2,0
1046,123.11,3,1,-0.6,0,68.9,1,1
1065,324.4,4,1,2.9,0,45.6,4,1
1206,149.23,1,1,2.1,0,12,3,1
1546,285.69,7,3,0.8,0,119,2,1
1690,544.5,11,6,1.3,1,208,5,0
1775,252.27,2,2,2.5,0,58.2,2,1
1971,286.33,6,3,0.9,0,102,4,1
1972,924.1,18,12,0,0,320,3,0
1978,336.4,5,3,1.7,0,87.7,10,1
1983,151.16,2,2,0.5,0,49.3,1,1
2022,225.2,4,3,-1.6,0,115,4,1
2082,265.33,4,2,2.9,0,92.3,5,1
2083,239.31,4,4,0.3,0,72.7,5,0
2094,136.11,2,2,-0.5,0,65.8,0,1
2118,308.8,3,0,2.1,0,43.1,1,1
2130,151.25,1,1,2.4,0,26,0,1
2141,214.23,6,4,-4.5,0,121,7,0
2142,585.6,17,13,-7.9,0,332,10,1
2153,180.16,3,1,0,0,69.3,0,1
2160,277.4,1,0,5,0,3.2,3,1
2163,225.26,3,1,2.3,-1,81.6,4,1
2244,180.16,4,1,1.2,0,63.6,3,1
2249,266.34,4,3,0.2,0,84.6,8,1
2266,188.22,4,2,1.6,0,74.6,8,0
2269,749,14,5,4,0,180,7,0
2366,136.19,2,1,0.4,0,24.9,3,1
2370,161.22,2,1,0,1,52.3,4,0
2431,243.16,0,0,2.8,1,0,3,0
2443,654.6,6,3,3.8,0,118,5,0
2476,467.6,5,2,5,0,62.2,5,1
2478,246.3,6,0,-0.5,0,104,7,1
2519,194.19,3,0,-0.1,0,58.4,0,1
2520,454.6,6,0,3.8,0,64,13,1
2554,236.27,1,1,2.5,0,46.3,0,1
2559,376.4,7,1,2.4,-2,155,3,1
2563,226.23,6,5,-2.2,0,116,4,0
2578,214.05,3,1,1.5,0,61.8,4,1
2583,292.37,4,3,1,0,70.6,6,1
2650,546.6,12,3,0.4,0,245,8,1
2678,388.9,5,1,1.7,0,53,8,0
2708,304.2,3,1,1.7,0,40.5,9,0
2719,319.9,3,1,4.6,0,28.2,8,1
2720,295.7,6,2,-0.2,0,135,1,0
2726,318.9,3,0,5.2,0,31.8,4,1
2756,252.34,4,3,0.4,0,114,7,0
2764,331.34,7,2,-1.1,0,72.9,3,0
